Year,Month,Avg Price
1980,01,669.63
1980,02,667.2
1980,03,557.6
1980,04,514.7
1980,05,514.46
1980,06,600.02
1980,07,644.14
1980,08,627.52
1980,09,673.73
1980,10,661.43
1980,11,623.42
1980,12,595.35
1981,01,559.99
1981,02,499.82
1981,03,498.81
1981,04,494.34
1981,05,479.45
1981,06,460.76
1981,07,409.08
1981,08,412.39
1981,09,443.89
1981,10,437.94
1981,11,413.27
1981,12,408.24
1982,01,384.93
1982,02,374.24
1982,03,330.3
1982,04,350.53
1982,05,333.97
1982,06,314.98
1982,07,340.08
1982,08,365.93
1982,09,435.54
1982,10,421.66
1982,11,413.02
1982,12,445.4
1983,01,479.88
1983,02,490.39
1983,03,419.68
1983,04,432.06
1983,05,437.52
1983,06,412.82
1983,07,423.02
1983,08,416.23
1983,09,411.72
1983,10,393.39
1983,11,381.91
1983,12,387.12
1984,01,370.86
1984,02,385.92
1984,03,394.23
1984,04,381.64
1984,05,377.25
1984,06,377.64
1984,07,346.42
1984,08,347.67
1984,09,340.88
1984,10,340.26
1984,11,340.9
1984,12,319.13
1985,01,302.77
1985,02,298.79
1985,03,303.92
1985,04,324.88
1985,05,316.07
1985,06,316.47
1985,07,317.63
1985,08,330.2
1985,09,322.94
1985,10,325.99
1985,11,325.58
1985,12,322.64
1986,01,345.47
1986,02,339.31
1986,03,345.4
1986,04,340.53
1986,05,340.37
1986,06,339.61
1986,07,345.26
1986,08,374.1
1986,09,416.25
1986,10,423.15
1986,11,396.54
1986,12,389.61
1987,01,407.96
1987,02,400.59
1987,03,408.26
1987,04,439.17
1987,05,460.42
1987,06,449.46
1987,07,450.61
1987,08,460.23
1987,09,459.8
1987,10,465.2
1987,11,468.25
1987,12,485.95
1988,01,476.24
1988,02,441.71
1988,03,444.08
1988,04,451.46
1988,05,451.14
1988,06,450.88
1988,07,437.49
1988,08,431.13
1988,09,412.0
1988,10,406.79
1988,11,420.31
1988,12,418.4
1989,01,402.93
1989,02,387.46
1989,03,389.25
1989,04,384.28
1989,05,370.64
1989,06,368.52
1989,07,374.72
1989,08,364.99
1989,09,361.67
1989,10,366.93
1989,11,395.74
1989,12,409.35
1990,01,410.65
1990,02,416.41
1990,03,392.4
1990,04,375.0
1990,05,369.43
1990,06,352.82
1990,07,362.78
1990,08,394.93
1990,09,390.89
1990,10,380.73
1990,11,382.4
1990,12,379.2
1991,01,383.68
1991,02,364.28
1991,03,362.97
1991,04,358.46
1991,05,357.48
1991,06,366.76
1991,07,367.86
1991,08,356.23
1991,09,348.76
1991,10,359.07
1991,11,360.46
1991,12,360.79
1992,01,354.62
1992,02,353.86
1992,03,344.75
1992,04,338.52
1992,05,337.21
1992,06,341.05
1992,07,353.0
1992,08,342.56
1992,09,345.67
1992,10,344.46
1992,11,335.04
1992,12,334.79
1993,01,329.15
1993,02,329.57
1993,03,330.39
1993,04,342.24
1993,05,367.61
1993,06,372.11
1993,07,392.85
1993,08,377.5
1993,09,355.22
1993,10,364.44
1993,11,374.0
